"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R47,R40,R41,R42,R43,R44,R45,R46";"SMD_0402";8;"R";;;
2;"R48,R49,R50,R51,R52,R53,R54,R55,R24";"SMD_0402";9;"0";;;
3;"D2";"SR_0402";1;"PRTR5V0U2X";;;
4;"P3";"MTJ-88TX1-FSD-D1LH-M4Y";1;"J0011D01BNL";;;
5;"R28";"SMD_0402";1;"12.1K";;;
6;"R29,R30";"SMD_0402";2;"4.75K";;;
7;"R31";"SMD_0402";1;"1M";;;
8;"R32,R25,R26";"SMD_0402";3;"0R";;;
9;"R27";"SMD_0402";1;"1.5K";;;
10;"C69,C70";"SMD_0402";2;"18p";;;
11;"R33";"SMD_0402";1;"12K 1%";;;
12;"U5";"QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm";1;"USB2514B";;;
13;"C66,C63,C44";"SMD_0402";3;"4.7u";;;
14;"C75,C64,C65,C76,C68,C67,C71,C72,C73,C74";"SMD_0402";10;"0.1u";;;
15;"D4,D3,D1";"SMD_0402";3;"LED";;;
16;"C77,C62,C78,C29,C30";"SMD_0402";5;"CP1";;;
17;"R21,R22,R20,R23";"SMD_0402";4;"49.9 1%";;;
18;"C61,C58,C60,C59";"SMD_0402";4;"10p";;;
19;"C57,C54,C55";"SMD_0402";3;"1u";;;
20;"W1";"TestPoint_Pad_1.0x1.0mm";1;"ONKEY";;;
21;"L4";"R_0805_2012Metric";1;"2.0A/0.050 DCR";;;
22;"W7";"TestPoint_Pad_1.0x1.0mm";1;"ETH_ADDR0";;;
23;"U7";"SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_ThermalVias";1;"CP2102N-QFN20";;;
24;"SR1,SR2,SR4";"SR_0402";3;"0R";;;
25;"U4";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"LAN8720A";;;
26;"C56";"SMD_0402";1;"470p";;;
27;"SR3,SR5";"SR_0402";2;"330R";;;
28;"SR6,SR7,SR8,SR9";"SR_0402";4;"4.75K";;;
29;"W2";"TestPoint_Pad_1.0x1.0mm";1;"ETH_CLK";;;
30;"W3";"TestPoint_Pad_1.0x1.0mm";1;"ETH_INT";;;
31;"W4";"TestPoint_Pad_1.0x1.0mm";1;"ETH_MODE0";;;
32;"W5";"TestPoint_Pad_1.0x1.0mm";1;"ETH_MODE1";;;
33;"W6";"TestPoint_Pad_1.0x1.0mm";1;"ETH_MODE2";;;
34;"C1";"SMD_0402";1;"22u 6.3V";;;
35;"C2";"SMD_0402";1;"10u 10V";;;
36;"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C26,C27,C28";"SMD_0402";22;"220n 10V";;;
37;"C22,C23";"SMD_0402";2;"2.2p 50V";;;
38;"C24,C25";"SMD_0402";2;"2.2p 50V DNP";;;
39;"C31,C32,C33,C39,C40,C41,C47";"SMD_0402";7;"4.7u 6.3v";;;
40;"C34,C35,C36,C37";"SMD_0402";4;"1.0u 10v";;;
41;"C38";"SMD_0402";1;"0.1u 16v";;;
42;"C42";"SMD_0402";1;"1.0u";;;
43;"C43";"SMD_0402";1;"0.47u";;;
44;"C45,C46,C50,C51,C52,C53";"SMD_0402";6;"10u";;;
45;"C48,C49";"SMD_0402";2;"100u";;;
46;"R1,R5,R13";"SMD_0402";3;"240 1%";;;
47;"R2,R3,R4";"SMD_0402";3;"10K";;;
48;"R6";"SMD_0402";1;"470";;;
49;"R7,R8";"SMD_0402";2;"1.5K DNP";;;
50;"R9";"SMD_0402";1;"47";;;
51;"R10,R11,R12";"SMD_0402";3;"0.02";;;
52;"R14,R17,R18,R19";"SMD_0402";4;"100K";;;
53;"R15,R16";"SMD_0402";2;"4.7K";;;
54;"P1,P2";"PINHD_2X20_X";2;"CONN_02X20";;;
55;"U1";"IMX6UL_BGA289";1;"IMX6UL_BGA289";;;
56;"U2";"DDR3_BGA96";1;"DDR3_BGA96";;;
57;"L1,L2,L3";"R_0805_2012Metric";3;"1uH";;;
58;"U3";"QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm";1;"PF1550";;;
59;"J1";"MCSP-G-08-A-SG-HC";1;"Conn_01x09_Male";;;
60;"U6";"WSON8_8x6mm";1;"W25M512JV";;;
61;"XTAL1";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"25MHz";;;
62;"XTAL2";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"24MHz 50ppm";;;
63;"J3";"ADC-029-X";1;"DC Jack";;;
64;"J4";"MCR-B-S-RA-SMT-CS5";1;"USB_Micro";;;
65;"J5";"MCR-B-S-RA-SMT-CS5";1;"USB_OTG";;;
66;"L5,L6,L7,L8";"R_0805_2012Metric";4;"FB";;;
67;"P4,P5";"USB-A-D-RA-30";2;"USB-A-D-RA-30";;;
